depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.35,4,9,0.2661,-0.174,0.1464,4e-05,0.2661,-0.174,0.1464,0.0,0.0,0,0.0,0,0,
0.35,5,0,0.2709,0.1857,0.1209,6e-05,0.2487,0.1637,0.1264,0.0317,0.26855,1,1e-05,1,414,left_hand_base_link|right_hand_Link1_2;right_shoulder_yaw_link|torso_link
0.35,5,1,0.2905,0.1593,0.1127,6e-05,0.3171,0.1045,0.0694,0.0747,0.21603,1,0.0032,1,400,left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;right_shoulder_yaw_link|torso_link
0.35,5,2,0.31,0.1243,0.1047,5e-05,0.3141,0.0926,0.0632,0.0524,0.18584,1,0.0,1,346,right_shoulder_yaw_link|torso_link
0.35,5,3,0.3264,0.0799,0.0979,5e-05,0.3261,0.059,0.0699,0.0349,0.13216,1,1e-05,1,322,right_shoulder_yaw_link|torso_link
0.35,5,4,0.336,0.0277,0.0939,5e-05,0.3348,0.0175,0.0805,0.0169,0.07798,1,0.0,1,262,right_shoulder_yaw_link|torso_link
0.35,5,5,0.336,-0.0277,0.0939,5e-05,0.3353,-0.0304,0.0902,0.0046,0.02869,1,0.0,1,112,right_shoulder_yaw_link|torso_link
0.35,5,6,0.3264,-0.0799,0.0979,5e-05,0.3264,-0.0799,0.0979,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,5,7,0.31,-0.1243,0.1047,6e-05,0.31,-0.1243,0.1047,0.0001,0.0,0,0.0,0,0,
0.35,5,8,0.2905,-0.1593,0.1127,8e-05,0.2906,-0.1593,0.1127,0.0001,0.0,0,0.0,0,0,
0.35,5,9,0.2709,-0.1857,0.1209,3e-05,0.271,-0.1857,0.1209,0.0001,0.0,0,0.0,0,0,
0.35,6,0,0.2741,0.1967,0.093,5e-05,0.2716,0.1486,0.0582,0.0594,0.28539,1,0.02547,1,558,left_hand_Link1_1|right_hand_Link1_2;left_hand_Link1_1|right_hand_Link1_3;left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_shoulder_yaw_link|torso_link
0.35,6,1,0.2952,0.1696,0.0814,5e-05,0.3325,0.1121,0.0567,0.0729,0.23737,1,0.03303,1,300,left_hand_Link1_2|right_hand_Link1_2;left_hand_Link1_2|right_hand_Link1_3;left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;right_shoulder_yaw_link|torso_link
0.35,6,2,0.3162,0.133,0.0698,5e-05,0.3155,0.0968,0.0267,0.0563,0.22131,1,0.00484,1,350,left_hand_Link1_1|right_hand_Link2_2;left_hand_Link2_1|right_hand_Link2_2;left_hand_Link2_1|right_hand_Link2_3;right_shoulder_yaw_link|torso_link
0.35,6,3,0.334,0.0858,0.06,5e-05,0.3346,0.0515,0.0254,0.0487,0.16556,1,1e-05,1,318,right_shoulder_yaw_link|torso_link
0.35,6,4,0.3445,0.0298,0.0542,5e-05,0.3433,0.0116,0.0372,0.0249,0.10141,1,0.0,1,216,right_shoulder_yaw_link|torso_link
0.35,6,5,0.3445,-0.0298,0.0542,5e-05,0.3435,-0.0359,0.0489,0.0082,0.04343,1,0.0,1,66,right_shoulder_yaw_link|torso_link
0.35,6,6,0.334,-0.0858,0.06,5e-05,0.334,-0.0858,0.06,0.0,1e-05,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,6,7,0.3162,-0.133,0.0698,5e-05,0.3162,-0.133,0.0698,0.0,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,6,8,0.2952,-0.1696,0.0814,7e-05,0.2952,-0.1696,0.0814,0.0,0.0,0,0.0,0,0,
0.35,6,9,0.2741,-0.1967,0.093,9e-05,0.2742,-0.1968,0.093,0.0001,0.0,0,0.0,0,0,
0.35,7,1,0.2971,0.1786,0.048,9e-05,0.3281,0.1244,0.0589,0.0634,0.27456,1,0.03143,1,294,left_hand_Link1_1|right_hand_Link1_2;left_hand_Link1_1|right_hand_Link1_3;left_hand_Link1_1|right_hand_Link2_2;left_hand_Link1_1|right_hand_Link2_3;left_hand_Link1_2|right_hand_Link1_2;left_hand_Link1_2|right_hand_Link1_3;left_hand_Link2_1|right_hand_Link1_2;left_hand_Link2_1|right_hand_Link1_3;left_hand_Link2_1|right_hand_Link2_2;left_hand_Link2_1|right_hand_Link2_3;left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;right_shoulder_yaw_link|torso_link
0.35,7,2,0.3189,0.1404,0.0327,4e-05,0.3298,0.0715,-0.0236,0.0896,0.25951,1,0.0,1,332,right_shoulder_yaw_link|torso_link
0.35,7,3,0.3374,0.0908,0.0197,4e-05,0.3401,0.0387,-0.0204,0.0658,0.20023,1,0.00036,1,226,right_shoulder_yaw_link|torso_link
0.35,7,4,0.3484,0.0315,0.0121,9e-05,0.3477,0.0022,-0.0081,0.0356,0.12579,1,0.0,1,154,right_shoulder_yaw_link|torso_link
0.35,7,5,0.3484,-0.0315,0.0121,4e-05,0.3472,-0.0425,0.0055,0.0129,0.05715,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,7,6,0.3374,-0.0908,0.0197,5e-05,0.3373,-0.0915,0.0193,0.0008,0.00497,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,7,7,0.3189,-0.1404,0.0327,5e-05,0.319,-0.1404,0.0327,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.35,7,8,0.2971,-0.1786,0.048,6e-05,0.2972,-0.1786,0.0479,0.0001,0.0,0,0.0,0,0,
0.35,7,9,0.2753,-0.2066,0.0632,8e-05,0.2754,-0.2066,0.0632,0.0001,0.0,0,0.0,0,0,
0.35,8,1,0.2962,0.186,0.0135,6e-05,0.3471,0.1042,-0.0181,0.1014,0.30723,1,0.0,1,232,right_shoulder_yaw_link|torso_link
0.35,8,2,0.318,0.1462,-0.0053,5e-05,0.348,0.0684,-0.0299,0.087,0.28312,1,0.0,1,238,right_shoulder_yaw_link|torso_link
0.35,8,3,0.3363,0.0945,-0.0211,5e-05,0.3555,0.0387,-0.0303,0.0597,0.22327,1,0.0,1,142,right_shoulder_yaw_link|torso_link
