depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.25,0,3,0.254,0.047,0.2231,6e-05,0.2532,0.0476,0.2186,0.0046,0.03206,1,0.0,1,128,right_elbow_link|torso_link
0.25,0,4,0.254,0.0157,0.2231,7e-05,0.254,0.0157,0.2228,0.0003,0.00183,1,5e-05,1,92,right_elbow_link|torso_link
0.25,0,5,0.254,-0.0157,0.2231,9e-05,0.254,-0.0156,0.2231,0.0001,0.0,1,0.0,1,46,right_elbow_link|torso_link
0.25,0,6,0.254,-0.047,0.2231,3e-05,0.254,-0.047,0.2231,0.0,0.0,0,0.0,0,0,
0.25,0,7,0.254,-0.0783,0.2231,4e-05,0.254,-0.0783,0.2231,0.0,0.0,0,0.0,0,0,
0.25,0,8,0.254,-0.1096,0.2231,5e-05,0.254,-0.1096,0.2231,0.0,0.0,0,0.0,0,0,
0.25,0,9,0.254,-0.1409,0.2231,5e-05,0.254,-0.1409,0.2231,0.0,0.0,0,0.0,0,0,
0.25,1,0,0.254,0.1458,0.2067,4e-05,0.2586,0.1342,0.1698,0.039,0.13835,1,0.0,1,284,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,1,1,0.254,0.1134,0.2067,5e-05,0.254,0.1137,0.2026,0.0041,0.08762,1,0.0,1,202,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,1,2,0.254,0.081,0.2067,5e-05,0.2529,0.0811,0.1978,0.009,0.0755,1,0.0,1,184,right_elbow_link|torso_link
0.25,1,3,0.254,0.0486,0.2067,6e-05,0.2545,0.0469,0.201,0.006,0.03832,1,0.0,1,150,right_elbow_link|torso_link
0.25,1,4,0.254,0.0162,0.2067,7e-05,0.2536,0.0167,0.2053,0.0016,0.01152,1,0.0,1,108,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,1,5,0.254,-0.0162,0.2067,9e-05,0.254,-0.0162,0.2067,0.0001,0.0,1,0.0,1,72,right_elbow_link|torso_link
0.25,1,6,0.254,-0.0486,0.2067,3e-05,0.254,-0.0486,0.2067,0.0,0.0,0,0.0,0,0,
0.25,1,7,0.254,-0.081,0.2067,4e-05,0.254,-0.081,0.2067,0.0,0.0,0,0.0,0,0,
0.25,1,8,0.254,-0.1134,0.2067,5e-05,0.254,-0.1134,0.2067,0.0,0.0,0,0.0,0,0,
0.25,1,9,0.254,-0.1458,0.2067,5e-05,0.254,-0.1458,0.2067,0.0,0.0,0,0.0,0,0,
