depth,row,col,tx,ty,tz,state,final_ok
0.3,2,5,0.304,-0.0216,0.186,hits pocket,0
0.3,2,6,0.304,-0.0648,0.186,reachable,1
0.3,2,7,0.304,-0.108,0.186,reachable,1
0.3,2,8,0.304,-0.1512,0.186,reachable,1
0.3,2,9,0.304,-0.1944,0.186,reachable,1
0.3,3,0,0.304,0.2016,0.1617,outside workspace box,0
0.3,3,1,0.304,0.1568,0.1617,hits pocket,0
0.3,3,2,0.304,0.112,0.1617,hits pocket,0
0.3,3,3,0.304,0.0672,0.1617,hits pocket,0
0.3,3,4,0.304,0.0224,0.1617,hits pocket,0
0.3,3,5,0.304,-0.0224,0.1617,hits pocket,0
0.3,3,6,0.304,-0.0672,0.1617,model / self-contact,0
0.3,3,7,0.304,-0.112,0.1617,reachable,1
0.3,3,8,0.304,-0.1568,0.1617,reachable,1
0.3,3,9,0.304,-0.2016,0.1617,reachable,1
0.3,4,0,0.304,0.2094,0.1355,outside workspace box,0
0.3,4,1,0.304,0.1629,0.1355,hits pocket,0
0.3,4,2,0.304,0.1164,0.1355,hits pocket,0
0.3,4,3,0.304,0.0698,0.1355,hits pocket,0
0.3,4,4,0.304,0.0233,0.1355,hits pocket,0
0.3,4,5,0.304,-0.0233,0.1355,hits pocket,0
0.3,4,6,0.304,-0.0698,0.1355,model / self-contact,0
0.3,4,7,0.304,-0.1164,0.1355,reachable,1
0.3,4,8,0.304,-0.1629,0.1355,reachable,1
0.3,4,9,0.304,-0.2094,0.1355,reachable,1
0.3,5,0,0.304,0.2178,0.1072,outside workspace box,0
0.3,5,1,0.304,0.1694,0.1072,hits pocket,0
0.3,5,2,0.304,0.121,0.1072,hits pocket,0
0.3,5,3,0.304,0.0726,0.1072,hits pocket,0
0.3,5,4,0.304,0.0242,0.1072,hits pocket,0
0.3,5,5,0.304,-0.0242,0.1072,hits pocket,0
0.3,5,6,0.304,-0.0726,0.1072,model / self-contact,0
0.3,5,7,0.304,-0.121,0.1072,reachable,1
0.3,5,8,0.304,-0.1694,0.1072,reachable,1
0.3,5,9,0.304,-0.2178,0.1072,reachable,1
0.3,6,0,0.304,0.227,0.0765,outside workspace box,0
0.3,6,1,0.304,0.1765,0.0765,hits pocket,0
0.3,6,2,0.304,0.1261,0.0765,hits pocket,0
0.3,6,3,0.304,0.0757,0.0765,hits pocket,0
0.3,6,4,0.304,0.0252,0.0765,hits pocket,0
0.3,6,5,0.304,-0.0252,0.0765,hits pocket,0
0.3,6,6,0.304,-0.0757,0.0765,model / self-contact,0
0.3,6,7,0.304,-0.1261,0.0765,reachable,1
0.3,6,8,0.304,-0.1765,0.0765,reachable,1
0.3,6,9,0.304,-0.227,0.0765,reachable,1
0.3,7,0,0.304,0.2369,0.0432,outside workspace box,0
0.3,7,1,0.304,0.1842,0.0432,hits pocket,0
0.3,7,2,0.304,0.1316,0.0432,hits pocket,0
0.3,7,3,0.304,0.079,0.0432,hits pocket,0
0.3,7,4,0.304,0.0263,0.0432,hits pocket,0
0.3,7,5,0.304,-0.0263,0.0432,hits pocket,0
0.3,7,6,0.304,-0.079,0.0432,model / self-contact,0
0.3,7,7,0.304,-0.1316,0.0432,model / self-contact,0
0.3,7,8,0.304,-0.1842,0.0432,reachable,1
0.3,7,9,0.304,-0.2369,0.0432,reachable,1
0.3,8,0,0.304,0.2477,0.0068,outside workspace box,0
0.3,8,1,0.304,0.1926,0.0068,hits pocket,0
0.3,8,2,0.304,0.1376,0.0068,hits pocket,0
0.3,8,3,0.304,0.0826,0.0068,hits pocket,0
0.3,8,4,0.304,0.0275,0.0068,hits pocket,0
0.3,8,5,0.304,-0.0275,0.0068,hits pocket,0
0.3,8,6,0.304,-0.0826,0.0068,model / self-contact,0
0.3,8,7,0.304,-0.1376,0.0068,model / self-contact,0
0.3,8,8,0.304,-0.1926,0.0068,reachable,1
0.3,8,9,0.304,-0.2477,0.0068,reachable,1
0.3,9,0,0.304,0.2595,-0.0331,outside workspace box,0
0.3,9,1,0.304,0.2019,-0.0331,outside workspace box,0
0.3,9,2,0.304,0.1442,-0.0331,hits pocket,0
0.3,9,3,0.304,0.0865,-0.0331,hits pocket,0
0.3,9,4,0.304,0.0288,-0.0331,hits pocket,0
0.3,9,5,0.304,-0.0288,-0.0331,model / self-contact,0
0.3,9,6,0.304,-0.0865,-0.0331,model / self-contact,0
0.3,9,7,0.304,-0.1442,-0.0331,model / self-contact,0
0.3,9,8,0.304,-0.2019,-0.0331,model / self-contact,0
0.3,9,9,0.304,-0.2595,-0.0331,model / self-contact,0
0.35,0,0,0.354,0.2219,0.2364,outside workspace box,0
0.35,0,1,0.354,0.1726,0.2364,hits pocket,0
0.35,0,2,0.354,0.1233,0.2364,hits pocket,0
