depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3857,330,0,481.6,165.6,0.3896,-0.1631,0.107,1,1,1,8e-05,0.959,0.0882,-0.025335,-0.013324,-0.025623,-0.088187,-0.000221,-0.059396,-0.013183
0.2816,331,0,203.8,353.8,0.2855,0.0977,-0.0266,1,1,1,5e-05,1.2122,0.491,0.153095,0.21164,0.49098,0.165049,-0.015342,0.096494,0.209199
0.5997,332,0,566.8,236.2,0.6036,-0.456,-0.0932,0,1,0,,,,,,,,,,
0.2716,333,0,226.9,150.0,0.2756,0.0583,0.1515,1,1,1,6e-05,0.7856,0.4974,0.188416,0.050065,0.497427,-0.261592,0.007691,-0.225,0.354342
0.5447,334,0,529.3,343.1,0.5487,-0.3953,-0.2905,0,1,0,,,,,,,,,,
0.4881,335,0,288.9,298.5,0.4921,0.0487,-0.141,0,1,0,,,,,,,,,,
0.1927,336,0,332.2,66.1,0.1967,-0.0042,0.2006,1,1,1,7e-05,0.4923,0.5794,0.544768,-0.133348,0.439435,-0.554905,0.034047,-0.579353,0.454967
0.3862,337,0,450.4,71.5,0.3902,-0.1197,0.1969,1,1,1,9e-05,0.8695,0.1777,-0.149103,0.011555,0.032292,-0.177657,5e-05,-0.115155,0.016109
0.4159,338,0,514.7,235.4,0.4198,-0.2332,0.0108,1,1,1,5e-05,1.3169,0.2697,-0.22011,-0.119213,-0.168317,0.269706,0.01496,0.163171,-0.041928
0.3846,339,0,29.7,83.4,0.3886,0.2683,0.1865,0,0,0,,,,,,,,,,
0.2316,340,0,271.2,73.5,0.2356,0.0225,0.1976,1,1,1,9e-05,0.6059,0.47,0.32276,-0.042351,0.470047,-0.441274,0.016174,-0.421103,0.404729
0.4436,341,0,295.2,287.6,0.4475,0.0342,-0.0859,1,1,0,0.02164,0.6739,1.4205,-0.91185,0.211216,0.039433,1.420466,-0.083018,0.069339,-0.003522
0.1616,342,0,26.2,173.3,0.1656,0.0826,0.172,1,1,1,3e-05,0.6133,0.6613,0.393232,-0.12155,0.661286,-0.433935,0.045016,-0.406242,0.609659
0.3828,343,0,547.1,318.6,0.3868,-0.2718,-0.0831,1,1,1,6e-05,1.357,0.5468,-0.251631,-0.186613,-0.219677,0.54683,0.026649,0.257454,-0.020341
0.5401,344,0,471.3,247.2,0.5441,-0.2509,-0.0806,0,1,0,,,,,,,,,,
0.4978,345,0,178.4,82.5,0.5017,0.1786,0.1827,1,1,0,0.02972,0.6725,1.5061,-1.506132,0.332058,0.076366,1.421948,-0.136056,0.073761,-0.004413
