idx,depth,u,v,tx,ty,tz,state,final_ok
50,0.2566,564.0,183.9,0.2605,-0.1465,0.1344,reachable,1
51,0.1596,636.7,113.7,0.1636,-0.0817,0.1889,model / self-contact,0
52,0.4507,563.3,292.4,0.4547,-0.3441,-0.0997,model / self-contact,0
53,0.4989,613.4,333.3,0.5029,-0.4935,-0.2212,IK fails,0
54,0.1347,550.8,89.0,0.1387,-0.0408,0.1965,model / self-contact,0
55,0.1502,428.8,257.3,0.1542,-0.0292,0.1521,model / self-contact,0
56,0.3868,253.2,327.7,0.3908,0.082,-0.1008,model / self-contact,0
57,0.3656,370.1,69.9,0.3696,-0.0429,0.1985,hits pocket,0
58,0.6392,335.0,32.0,0.6431,-0.0241,0.2545,IK fails,0
59,0.5136,365.7,2.3,0.5175,-0.0554,0.2752,reachable,1
60,0.2418,626.1,212.4,0.2458,-0.1742,0.1225,reachable,1
61,0.1671,120.0,242.1,0.171,0.0647,0.1469,hits pocket,0
62,0.6275,369.7,216.8,0.6314,-0.0946,-0.0672,IK fails,0
63,0.4965,46.2,180.0,0.5004,0.381,0.0529,outside workspace box,0
64,0.0877,113.4,139.7,0.0917,0.0077,0.1975,model / self-contact,0
65,0.2871,464.6,31.6,0.291,-0.0869,0.2207,reachable,1
66,0.5976,559.1,170.0,0.6015,-0.4083,0.0355,IK fails,0
67,0.1264,490.2,329.5,0.1304,-0.034,0.1508,model / self-contact,0
68,0.5713,47.1,25.3,0.5753,0.3828,0.2565,outside workspace box,0
69,0.1481,405.8,178.8,0.1521,-0.0205,0.1751,model / self-contact,0
70,0.4765,431.2,114.5,0.4805,-0.1376,0.1457,reachable,1
71,0.5238,294.6,182.7,0.5278,0.0377,0.039,model / self-contact,0
72,0.1683,59.4,208.4,0.1723,0.0822,0.1582,hits pocket,0
73,0.6432,517.2,176.0,0.6472,-0.3687,0.0094,IK fails,0
74,0.5306,117.1,346.7,0.5345,0.3734,-0.2841,outside workspace box,0
75,0.4117,308.0,292.9,0.4157,0.0152,-0.0691,hits pocket,0
76,0.0892,419.3,328.9,0.0931,-0.0052,0.1872,model / self-contact,0
77,0.2453,534.4,137.5,0.2493,-0.1148,0.1649,reachable,1
78,0.3413,636.2,281.2,0.3453,-0.3123,0.0012,reachable,1
79,0.1021,270.5,315.9,0.106,0.005,0.1763,model / self-contact,0
80,0.5295,453.4,284.1,0.5335,-0.226,-0.1456,IK fails,0
81,0.1852,206.3,286.8,0.1892,0.0465,0.1155,hits pocket,0
82,0.3748,231.9,150.3,0.3788,0.0844,0.1256,hits pocket,0
83,0.1334,476.4,306.7,0.1373,-0.0345,0.1504,model / self-contact,0
84,0.6391,450.4,295.6,0.6431,-0.2783,-0.2584,IK fails,0
85,0.6378,540.0,152.7,0.6418,-0.3974,0.0557,IK fails,0
86,0.5021,623.4,181.3,0.506,-0.4285,0.0489,IK fails,0
87,0.5683,584.9,171.4,0.5722,-0.4276,0.0424,IK fails,0
88,0.5106,449.0,105.8,0.5146,-0.1717,0.1525,reachable,1
89,0.2848,365.2,33.8,0.2888,-0.027,0.2192,hits pocket,0
90,0.3071,47.2,171.4,0.3111,0.2068,0.126,outside workspace box,0
91,0.1236,271.2,211.1,0.1276,0.008,0.178,model / self-contact,0
92,0.5443,597.6,246.3,0.5482,-0.464,-0.0812,IK fails,0
93,0.5456,455.4,204.8,0.5495,-0.2163,-0.0064,model / self-contact,0
94,0.6482,340.6,292.8,0.6522,-0.0445,-0.2584,outside workspace box,0
95,0.285,224.4,61.6,0.289,0.0586,0.2037,hits pocket,0
96,0.403,482.0,158.1,0.407,-0.1712,0.1101,reachable,1
97,0.218,81.5,261.4,0.222,0.1231,0.1058,hits pocket,0
98,0.3886,122.0,310.7,0.3926,0.2391,-0.0766,outside workspace box,0
99,0.1016,310.1,323.6,0.1056,0.001,0.1758,model / self-contact,0
100,0.1552,445.5,118.1,0.1592,-0.0308,0.1884,model / self-contact,0
101,0.2479,431.9,130.6,0.2519,-0.0604,0.1681,reachable,1
102,0.3573,604.0,71.7,0.3613,-0.2364,0.1971,reachable,1
103,0.5801,15.4,58.8,0.584,0.4489,0.2128,outside workspace box,0
104,0.1835,505.1,200.5,0.1874,-0.0674,0.1545,reachable,1
105,0.4778,357.0,4.4,0.4818,-0.0412,0.267,reachable,1
106,0.4168,458.7,232.6,0.4208,-0.1661,0.0141,reachable,1
107,0.3946,47.2,88.7,0.3986,0.2616,0.1813,outside workspace box,0
108,0.6042,252.3,357.1,0.6082,0.1469,-0.3919,outside workspace box,0
109,0.4677,97.3,212.4,0.4717,0.2994,0.0168,outside workspace box,0
110,0.4796,87.4,112.5,0.4835,0.2894,0.1477,outside workspace box,0
111,0.1934,576.7,123.0,0.1973,-0.0939,0.181,reachable,1
112,0.336,525.9,210.6,0.3399,-0.1834,0.0802,reachable,1
113,0.6353,371.2,68.8,0.6393,-0.0845,0.1988,IK fails,0
114,0.2868,68.8,162.8,0.2908,0.172,0.1388,hits pocket,0
115,0.4362,148.7,269.6,0.4402,0.2265,-0.0515,outside workspace box,0
116,0.2616,464.5,29.8,0.2656,-0.0763,0.219,reachable,1
117,0.1475,124.2,340.2,0.1515,0.0562,0.1263,hits pocket,0
118,0.2848,545.3,296.0,0.2887,-0.1783,0.0297,reachable,1
119,0.4584,298.7,296.6,0.4624,0.0308,-0.1132,model / self-contact,0
120,0.4648,535.6,272.7,0.4687,-0.3089,-0.0768,model / self-contact,0
121,0.1574,584.3,296.2,0.1614,-0.0816,0.1335,model / self-contact,0
122,0.3055,478.9,31.2,0.3095,-0.1038,0.2227,reachable,1
123,0.6127,253.9,72.8,0.6167,0.1051,0.1928,IK fails,0
124,0.2438,60.7,1.8,0.2477,0.1205,0.2291,hits pocket,0
125,0.5484,634.1,95.3,0.5524,-0.4496,0.1631,IK fails,0
126,0.625,110.8,211.1,0.629,0.3937,-0.0541,outside workspace box,0
127,0.3947,458.6,353.0,0.3987,-0.1803,-0.15,model / self-contact,0
128,0.5169,629.3,301.3,0.5209,-0.5207,-0.1707,IK fails,0
129,0.2638,568.6,227.3,0.2678,-0.163,0.1014,reachable,1
130,0.5165,338.1,81.5,0.5205,-0.0238,0.1832,reachable,1
131,0.3715,108.9,207.8,0.3755,0.2131,0.0669,outside workspace box,0
132,0.1159,430.0,273.8,0.1199,-0.0162,0.1714,model / self-contact,0
133,0.4185,400.0,149.0,0.4225,-0.0877,0.1161,reachable,1
134,0.4897,444.2,210.8,0.4937,-0.176,0.009,reachable,1
135,0.2221,332.8,166.6,0.226,-0.0061,0.1556,hits pocket,0
136,0.4674,146.7,250.3,0.4714,0.2433,-0.0416,outside workspace box,0
137,0.4527,125.1,349.9,0.4567,0.2985,-0.2075,outside workspace box,0
138,0.3419,340.0,302.8,0.3459,-0.0203,-0.0254,model / self-contact,0
139,0.1437,304.6,93.0,0.1476,0.0031,0.1952,model / self-contact,0
140,0.4567,455.4,303.9,0.4606,-0.1974,-0.1246,model / self-contact,0
141,0.388,236.0,207.3,0.392,0.0894,0.06,hits pocket,0
142,0.1489,599.4,139.6,0.1528,-0.0645,0.1844,model / self-contact,0
143,0.079,561.2,322.1,0.0829,-0.0028,0.1973,model / self-contact,0
144,0.5233,126.9,229.1,0.5273,0.3022,-0.0379,outside workspace box,0
145,0.1206,388.3,69.0,0.1245,-0.009,0.1999,model / self-contact,0
146,0.1802,323.8,293.6,0.1842,-0.0015,0.1161,hits pocket,0
147,0.1651,48.1,198.4,0.1691,0.0818,0.163,hits pocket,0
148,0.5427,43.2,278.4,0.5467,0.4794,-0.1438,outside workspace box,0
149,0.2163,254.9,105.9,0.2202,0.0279,0.1847,hits pocket,0
150,0.3667,231.0,207.7,0.3707,0.0883,0.0692,hits pocket,0
151,0.4555,227.4,229.5,0.4594,0.1229,-0.0024,model / self-contact,0
152,0.4243,357.3,139.4,0.4283,-0.0412,0.1256,hits pocket,0
153,0.2319,378.8,122.5,0.2359,-0.0286,0.175,hits pocket,0
154,0.4165,349.3,220.4,0.4204,-0.0345,0.0303,hits pocket,0
155,0.6415,245.0,203.7,0.6454,0.1441,-0.0461,IK fails,0
156,0.0988,273.9,303.5,0.1028,0.004,0.1806,model / self-contact,0
157,0.2071,560.1,339.0,0.2111,-0.1262,0.0656,reachable,1
158,0.1596,7.7,173.9,0.1636,0.0858,0.1725,hits pocket,0
159,0.6264,621.8,323.2,0.6304,-0.6521,-0.3203,IK fails,0
160,0.5496,386.5,185.5,0.5536,-0.1049,0.0251,model / self-contact,0
161,0.6106,417.5,89.5,0.6145,-0.157,0.1674,IK fails,0
162,0.3506,281.4,278.5,0.3545,0.0393,-0.0024,hits pocket,0
163,0.3946,117.3,106.5,0.3986,0.1979,0.1645,model / self-contact,0
164,0.3103,91.5,4.9,0.3143,0.1488,0.2387,hits pocket,0
165,0.2445,487.8,221.1,0.2484,-0.098,0.1156,reachable,1
166,0.6497,459.0,174.4,0.6537,-0.2625,0.0104,outside workspace box,0
167,0.2057,496.7,299.0,0.2097,-0.0872,0.0924,hits pocket,0
168,0.3094,97.5,71.7,0.3133,0.1537,0.1976,hits pocket,0
169,0.518,327.8,70.1,0.5219,-0.0102,0.1975,reachable,1
170,0.3548,555.8,113.8,0.3588,-0.203,0.1628,reachable,1
171,0.1385,380.4,260.1,0.1424,-0.0137,0.1589,model / self-contact,0
172,0.3909,179.8,263.1,0.3949,0.1608,-0.0111,model / self-contact,0
173,0.294,576.0,161.2,0.2979,-0.181,0.1378,reachable,1
174,0.4405,196.2,83.3,0.4444,0.1351,0.1842,model / self-contact,0
175,0.2124,169.4,310.4,0.2163,0.0793,0.0795,hits pocket,0
176,0.4271,431.0,204.5,0.431,-0.1325,0.0461,reachable,1
177,0.1399,573.1,61.2,0.1438,-0.0473,0.2012,model / self-contact,0
178,0.3705,78.0,27.5,0.3745,0.2022,0.2319,outside workspace box,0
179,0.1799,239.7,170.4,0.1839,0.0273,0.1671,hits pocket,0
180,0.2191,227.8,80.2,0.2231,0.0394,0.1951,hits pocket,0
181,0.2815,593.2,150.2,0.2855,-0.18,0.1489,reachable,1
182,0.4462,391.2,239.1,0.4501,-0.0932,-0.0116,reachable,1
183,0.4916,54.2,209.5,0.4955,0.3778,0.0102,outside workspace box,0
184,0.1283,509.2,211.9,0.1323,-0.0339,0.1756,model / self-contact,0
185,0.6065,53.6,116.3,0.6105,0.4374,0.1251,outside workspace box,0
186,0.3258,302.5,322.4,0.3298,0.0172,-0.0352,hits pocket,0
187,0.4752,483.3,174.6,0.4792,-0.2145,0.0677,reachable,1
188,0.2094,203.0,320.4,0.2134,0.061,0.0757,hits pocket,0
189,0.456,4.0,259.6,0.4599,0.4355,-0.0492,outside workspace box,0
