depth,row,col,tx,ty,tz,state,final_ok
0.5,6,2,0.5241,0.25,-0.0448,outside workspace box,0
0.5,6,3,0.5241,0.15,-0.0448,IK fails,0
0.5,6,4,0.5241,0.05,-0.0448,IK fails,0
0.5,6,5,0.5241,-0.05,-0.0448,model / self-contact,0
0.5,6,6,0.5241,-0.15,-0.0448,model / self-contact,0
0.5,6,7,0.5241,-0.25,-0.0448,model / self-contact,0
0.5,6,8,0.5241,-0.35,-0.0448,IK fails,0
0.5,6,9,0.5241,-0.45,-0.0448,IK fails,0
0.5,7,0,0.5055,0.45,-0.0979,outside workspace box,0
0.5,7,1,0.5055,0.35,-0.0979,outside workspace box,0
0.5,7,2,0.5055,0.25,-0.0979,outside workspace box,0
0.5,7,3,0.5055,0.15,-0.0979,IK fails,0
0.5,7,4,0.5055,0.05,-0.0979,IK fails,0
0.5,7,5,0.5055,-0.05,-0.0979,IK fails,0
0.5,7,6,0.5055,-0.15,-0.0979,model / self-contact,0
0.5,7,7,0.5055,-0.25,-0.0979,IK fails,0
0.5,7,8,0.5055,-0.35,-0.0979,IK fails,0
0.5,7,9,0.5055,-0.45,-0.0979,IK fails,0
0.5,8,0,0.4869,0.45,-0.151,outside workspace box,0
0.5,8,1,0.4869,0.35,-0.151,outside workspace box,0
0.5,8,2,0.4869,0.25,-0.151,outside workspace box,0
0.5,8,3,0.4869,0.15,-0.151,IK fails,0
0.5,8,4,0.4869,0.05,-0.151,IK fails,0
0.5,8,5,0.4869,-0.05,-0.151,IK fails,0
0.5,8,6,0.4869,-0.15,-0.151,IK fails,0
0.5,8,7,0.4869,-0.25,-0.151,IK fails,0
0.5,8,8,0.4869,-0.35,-0.151,IK fails,0
0.5,8,9,0.4869,-0.45,-0.151,IK fails,0
0.5,9,0,0.4683,0.45,-0.2041,outside workspace box,0
0.5,9,1,0.4683,0.35,-0.2041,outside workspace box,0
0.5,9,2,0.4683,0.25,-0.2041,outside workspace box,0
0.5,9,3,0.4683,0.15,-0.2041,IK fails,0
0.5,9,4,0.4683,0.05,-0.2041,IK fails,0
0.5,9,5,0.4683,-0.05,-0.2041,IK fails,0
0.5,9,6,0.4683,-0.15,-0.2041,IK fails,0
0.5,9,7,0.4683,-0.25,-0.2041,IK fails,0
0.5,9,8,0.4683,-0.35,-0.2041,IK fails,0
0.5,9,9,0.4683,-0.45,-0.2041,IK fails,0
0.6,0,0,0.7467,0.54,0.2885,outside workspace box,0
0.6,0,1,0.7467,0.42,0.2885,outside workspace box,0
0.6,0,2,0.7467,0.3,0.2885,outside workspace box,0
0.6,0,3,0.7467,0.18,0.2885,outside workspace box,0
0.6,0,4,0.7467,0.06,0.2885,outside workspace box,0
