depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,4,5,0.2251,-0.0151,0.1582,4e-05,0.2263,-0.0182,0.1569,0.0036,0.01365,1,2e-05,1,76,right_wrist_roll_link|torso_link
0.3,4,6,0.2198,-0.0436,0.1597,6e-05,0.2199,-0.0436,0.1597,0.0001,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.3,4,7,0.2109,-0.068,0.1623,8e-05,0.211,-0.068,0.1623,0.0001,0.0,0,0.0,0,0,
0.3,4,8,0.2002,-0.0874,0.1654,4e-05,0.2003,-0.0874,0.1654,0.0001,0.0,0,0.0,0,0,
0.3,4,9,0.1894,-0.1023,0.1685,7e-05,0.1895,-0.1023,0.1685,0.0001,0.0,0,0.0,0,0,
0.3,5,0,0.2004,0.1172,0.1501,7e-05,0.2524,0.0596,0.1328,0.0795,0.23074,1,0.0,1,262,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,5,1,0.2142,0.1015,0.1444,7e-05,0.2521,0.053,0.1258,0.0643,0.18386,1,0.0,1,270,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,5,2,0.2281,0.08,0.1386,7e-05,0.2529,0.0425,0.1226,0.0477,0.13642,1,0.0,1,284,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,5,3,0.2401,0.0519,0.1337,8e-05,0.2544,0.0257,0.1225,0.0319,0.0932,1,0.0,1,258,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,5,4,0.2472,0.0181,0.1307,8e-05,0.2547,0.0013,0.1245,0.0194,0.06001,1,0.0,1,165,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,5,5,0.2472,-0.0181,0.1307,0.0001,0.2485,-0.0223,0.1288,0.0048,0.01557,1,3e-05,1,117,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,5,6,0.2401,-0.0519,0.1337,4e-05,0.2401,-0.0519,0.1337,0.0,0.0,1,0.0,1,9,right_wrist_roll_link|torso_link
0.3,5,7,0.2281,-0.08,0.1386,6e-05,0.2282,-0.08,0.1386,0.0001,0.0,0,0.0,0,0,
0.3,5,8,0.2142,-0.1015,0.1444,9e-05,0.2143,-0.1015,0.1444,0.0001,0.0,0,0.0,0,0,
0.3,5,9,0.2004,-0.1172,0.1501,5e-05,0.2005,-0.1171,0.1501,0.0001,0.0,0,0.0,0,0,
0.3,6,0,0.211,0.1328,0.1278,7e-05,0.2312,0.1031,0.1003,0.0452,0.14032,1,0.0,1,383,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,6,1,0.2276,0.1163,0.1186,7e-05,0.2511,0.0725,0.0845,0.0603,0.12838,1,0.0,1,385,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,6,2,0.2446,0.0927,0.1092,7e-05,0.268,0.0505,0.0873,0.053,0.13099,1,7e-05,1,324,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,6,3,0.2595,0.0606,0.1011,7e-05,0.2678,0.0381,0.0861,0.0283,0.06846,1,4e-05,1,350,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
